ticker_symbol,name,industry,market_cap,country
AAPL,Apple Inc,Technology,3432637.984794647,US
TSLA,Tesla Inc,Automobiles,781089.5790588963,US
WMT,Walmart Inc,Retail,640728.9729821177,US
DIS,Walt Disney Co,Media,167774.96948284406,US
XOM,Exxon Mobil Corp,Energy,542202.5774835722,US
MSFT,Microsoft Corp,Technology,3082555.491430512,US
PFE,Pfizer Inc,Pharmaceuticals,165354.1592915541,US
META,Meta Platforms Inc,Media,1499903.1089399545,US
GM,General Motors Co,Automobiles,51711.6561872388,US
NVDA,NVIDIA Corp,Semiconductors,3259791.731156108,US
