,ticker_symbol,date,open,high,low,close
0,AAPL,2023-01-31,142.7,144.34,142.28,144.29
1,AAPL,2023-01-30,144.96,145.55,142.85,143.0
2,AAPL,2023-01-27,143.16,147.23,143.08,145.93
3,AAPL,2023-01-26,143.17,144.25,141.9,143.96
4,AAPL,2023-01-25,140.89,142.43,138.81,141.86
5,AAPL,2023-01-24,140.31,143.16,140.3,142.53
6,AAPL,2023-01-23,138.12,143.32,137.9,141.11
7,AAPL,2023-01-20,135.28,138.02,134.22,137.87
8,AAPL,2023-01-19,134.08,136.25,133.77,135.27
9,AAPL,2023-01-18,136.82,138.61,135.03,135.21
10,AAPL,2023-01-17,134.83,137.29,134.13,135.94
11,AAPL,2023-01-13,132.03,134.92,131.66,134.76
12,AAPL,2023-01-12,133.88,134.26,131.44,133.41
13,AAPL,2023-01-11,131.25,133.51,130.46,133.49
14,AAPL,2023-01-10,130.26,131.26,128.12,130.73
15,AAPL,2023-01-09,130.47,133.41,129.89,130.15
16,AAPL,2023-01-06,126.01,130.29,124.89,129.62
17,AAPL,2023-01-05,127.13,127.77,124.76,125.02
18,AAPL,2023-01-04,126.89,128.66,125.08,126.36
19,AAPL,2023-01-03,130.28,130.9,124.17,125.07
20,TSLA,2023-01-31,164.57,174.3,162.78,173.22
21,TSLA,2023-01-30,178.05,179.77,166.5,166.66
22,TSLA,2023-01-27,162.43,180.68,161.17,177.9
23,TSLA,2023-01-26,159.97,161.42,154.76,160.27
24,TSLA,2023-01-25,141.91,146.41,138.07,144.43
25,TSLA,2023-01-24,143.0,146.5,141.1,143.89
26,TSLA,2023-01-23,135.87,145.38,134.27,143.75
27,TSLA,2023-01-20,128.68,133.51,127.35,133.42
28,TSLA,2023-01-19,127.26,129.99,124.31,127.17
29,TSLA,2023-01-18,136.56,136.68,127.01,128.78
30,TSLA,2023-01-17,125.7,131.7,125.02,131.49
31,TSLA,2023-01-13,116.55,122.63,115.6,122.4
32,TSLA,2023-01-12,122.56,124.13,117.0,123.56
33,TSLA,2023-01-11,122.09,125.95,120.51,123.22
34,TSLA,2023-01-10,121.07,122.76,114.92,118.85
35,TSLA,2023-01-09,118.96,123.52,117.11,119.77
36,TSLA,2023-01-06,103.0,114.39,101.81,113.06
